search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q9NQB0,TCF7L2,"Transcription factor 7-like 2",,"TF7L2_HUMAN, TCF7L2, TCF4","Nucleus, PML body","Q9NQB0 TF7L2_HUMAN Transcription factor 7-like 2 Q9NQB0,B4DRJ8,B9X074,C6ZRJ8,C6ZRK0,E2GH14,E2GH19,E2GH20,E2GH24,E2GH25,E9PFH9,F8W742,F8W7T5,O00185,Q9NQB1,Q9NQB2,Q9NQB3,Q9NQB4,Q9NQB5,Q9NQB6,Q9NQB7,Q9ULC2 HMG box transcription factor 4, T-cell-specific transcription factor 4 TCF4","beta-catenin-tcf7l2 complex, nuclear chromatin, nucleoplasm, nucleus, pml body, protein-dna complex, transcription regulator complex","TCF/LEF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TF7L2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9NQB0/,,,,3,0,2,0,0,0,0,-3,59,1,334,0,0,80,0,0,,,
,P28347,TEAD1,"Transcriptional enhancer factor TEF-1",,"TEAD1_HUMAN, TEAD1, TCF13, TEF1",Nucleus,"P28347 TEAD1_HUMAN Transcriptional enhancer factor TEF-1 P28347,A4FUP2,E7EV65 NTEF-1, Protein GT-IIC, TEA domain family member 1, Transcription factor 13 TCF13, TEF1","nuclear chromatin, nucleoplasm, nucleus, tead-1-yap complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TEAD1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P28347/,,,,7,1,7,3,43,6,86,-3,59,1,51,5,0,9,2,0,,,
,Q15562,TEAD2,"Transcriptional enhancer factor TEF-4",,"TEAD2_HUMAN, TEAD2, TEF4",Nucleus,"Q15562 TEAD2_HUMAN Transcriptional enhancer factor TEF-4 Q15562,B4DTJ6,M0R1T9,Q8NA25,Q96IG3 TEA domain family member 2 TEF4","cytosol, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus, tead-2-yap complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TEAD2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15562/,,,,15,14,15,10,67,15,100,-3,59,,,,,,,,,,
,Q15561,TEAD4,"Transcriptional enhancer factor TEF-3",,"TEAD4_HUMAN, TEAD4, RTEF1, TCF13L1, TEF3",Nucleus,"Q15561 TEAD4_HUMAN Transcriptional enhancer factor TEF-3 Q15561,H0Y308,Q6MZR9,Q8NEV5,Q92883,Q96BK2 TEA domain family member 4, Transcription factor 13-like 1, Transcription factor RTEF-1 RTEF1, TCF13L1, TEF3","nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TEAD4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15561/,,,,17,2,17,0,0,16,95,-3,59,1,1,0,0,1,0,0,,,
,P05549,TFAP2A,"Transcription factor AP-2-alpha",,"AP2A_HUMAN, TFAP2A, AP2TF, TFAP2",Nucleus,"P05549 AP2A_HUMAN Transcription factor AP-2-alpha P05549,Q13777,Q5TAV5,Q8N1C6 AP-2 transcription factor, Activating enhancer-binding protein 2-alpha, Activator protein 2 AP2TF, TFAP2","nuclear chromatin, nucleoplasm, nucleus","AP-2 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=AP2A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P05549/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q92754,TFAP2C,"Transcription factor AP-2 gamma",,"AP2C_HUMAN, TFAP2C",Nucleus,"Q92754 AP2C_HUMAN Transcription factor AP-2 gamma Q92754,B4DWK3,O00685,O00730,Q86V30,Q8IVB6,Q9P1X2 Activating enhancer-binding protein 2 gamma, Transcription factor ERF-1 ","cytosol, mitochondrion, nuclear chromatin, nucleoplasm, nucleus","AP-2 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=AP2C_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q92754/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q01664,TFAP4,"Transcription factor AP-4",,"TFAP4_HUMAN, TFAP4, BHLHC41",Nucleus,"Q01664 TFAP4_HUMAN Transcription factor AP-4 Q01664,O60409 Activating enhancer-binding protein 4, Class C basic helix-loop-helix protein 41 BHLHC41","mitochondrion, nuclear chromatin, nucleoplasm, nucleus, transcription repressor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TFAP4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q01664/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q12800,TFCP2,"Alpha-globin transcription factor CP2",,"TFCP2_HUMAN, TFCP2, LSF, SEF",Nucleus,"Q12800 TFCP2_HUMAN Alpha-globin transcription factor CP2 Q12800,A8K5E9,Q12801,Q9UD75,Q9UD77 SAA3 enhancer factor, Transcription factor LSF LSF, SEF","cytosol, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex","grh/CP2 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TFCP2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q12800/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q14186,TFDP1,"Transcription factor Dp-1",,"TFDP1_HUMAN, TFDP1, DP1","Nucleus, Cytoplasm","Q14186 TFDP1_HUMAN Transcription factor Dp-1 Q14186,B4DLQ9,Q5JSB4,Q8IZL5 DRTF1-polypeptide 1, E2F dimerization partner 1 DP1","cytoplasm, cytosol, mitochondrion, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex","E2F/DP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TFDP1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14186/,,,,4,0,3,2,67,3,100,-1.2,66,,,,,,,,,,
,Q15583,TGIF1,"Homeobox protein TGIF1",,"TGIF1_HUMAN, TGIF1, TGIF",Nucleus,"Q15583 TGIF1_HUMAN Homeobox protein TGIF1 Q15583,A6NE42,A6NLU7,F8VZB6,Q6ICR0,Q8N5X9,Q9NRS0 5'-TG-3'-interacting factor 1 TGIF","nuclear chromatin, nucleoplasm","TALE/TGIF homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TGIF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15583/,,,,3,0,2,0,0,1,50,-0.3,76,,,,,,,,,,
,Q9GZN2,TGIF2,"Homeobox protein TGIF2",,"TGIF2_HUMAN, TGIF2",Nucleus,"Q9GZN2 TGIF2_HUMAN Homeobox protein TGIF2 Q9GZN2,B2R9U3,E1P5T9,H0YNI0 5'-TG-3'-interacting factor 2, TGF-beta-induced transcription factor 2 ","centrosome, nuclear chromatin, nucleoplasm, nucleus","TALE/TGIF homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TGIF2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9GZN2/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9NVV9,THAP1,"THAP domain-containing protein 1",,"THAP1_HUMAN, THAP1","Nucleus, Nucleoplasm, Nucleus, PML body","Q9NVV9 THAP1_HUMAN THAP domain-containing protein 1 Q9NVV9,A6NCB6,D3DSY5,H9KV49,Q53FQ1,Q6IA99  ","fibrillar center, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus, pml body","THAP1 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=THAP1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9NVV9/,,,,3,0,3,1,34,3,100,-3,59,,,,,,,,,,
,Q96EK4,THAP11,"THAP domain-containing protein 11",,"THA11_HUMAN, THAP11","Nucleus, Cytoplasm","Q96EK4 THA11_HUMAN THAP domain-containing protein 11 Q96EK4,A4UCT5,A8K002,O94795  ","cytosol, intercellular bridge, nuclear chromatin, nucleoplasm","THAP11 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=THA11_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q96EK4/,,,,2,0,2,0,0,0,0,-3,59,,,,,,,,,,
,P10828,THRB,"Thyroid hormone receptor beta",,"THB_HUMAN, THRB, ERBA2, NR1A2, THR1",Nucleus,"P10828 THB_HUMAN Thyroid hormone receptor beta P10828,B3KU79,P37243,Q13986,Q3KP35,Q6WGL2,Q9UD41 Nuclear receptor subfamily 1 group A member 2, c-erbA-2, c-erbA-beta ERBA2, NR1A2, THR1","nuclear body, nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=THB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P10828/,"100.00|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||82.73|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||82.73|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||47.44|P03372|ESR1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||42.86|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||40.00|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.18|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.15|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||35.42|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.04|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",24,23,24,8,34,24,100,0.95,90,1,734,209,66,165,53,19,,,
,Q15672,TWIST1,"Twist-related protein 1",,"TWST1_HUMAN, TWIST1, BHLHA38, TWIST",Nucleus,"Q15672 TWST1_HUMAN Twist-related protein 1 Q15672,A4D128,Q92487,Q99804 Class A basic helix-loop-helix protein 38, H-twist BHLHA38, TWIST","nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TWST1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15672/,,,,1,1,0,0,0,0,0,-3,59,,,,,,,,,,
,P11473,VDR,"Vitamin D3 receptor",,"VDR_HUMAN, VDR, NR1I1","Nucleus, Cytoplasm","P11473 VDR_HUMAN Vitamin D3 receptor P11473,B2R5Q1,G3V1V9,Q5PSV3 1,25-dihydroxyvitamin D3 receptor, Nuclear receptor subfamily 1 group I member 1 NR1I1","cytosol, nuclear chromatin, nucleoplasm, nucleus, receptor complex, rna polymerase ii transcription regulator complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=VDR_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P11473/,"100.00|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||45.83|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||42.03|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||41.98|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||41.67|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||40.59|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||39.68|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.19|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.04|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.50|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.17|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",49,45,49,14,29,49,100,1.95,97,1,1183,311,60,181,36,10,,,
,Q14119,VEZF1,"Vascular endothelial zinc finger 1",,"VEZF1_HUMAN, VEZF1, DB1, ZNF161",Nucleus,"Q14119 VEZF1_HUMAN Vascular endothelial zinc finger 1 Q14119 Putative transcription factor DB1, Zinc finger protein 161 DB1, ZNF161","nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=VEZF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14119/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q15916,ZBTB6,"Zinc finger and BTB domain-containing protein 6",,"ZBTB6_HUMAN, ZBTB6, ZID, ZNF482",Nucleus,"Q15916 ZBTB6_HUMAN Zinc finger and BTB domain-containing protein 6 Q15916,A8K8N6 Zinc finger protein 482, Zinc finger protein with interaction domain ZID, ZNF482","mitochondrion, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZBTB6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15916/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,O95365,ZBTB7A,"Zinc finger and BTB domain-containing protein 7A",,"ZBT7A_HUMAN, ZBTB7A, FBI1, LRF, ZBTB7, ZNF857A",Nucleus,"O95365 ZBT7A_HUMAN Zinc finger and BTB domain-containing protein 7A O95365,D6W619,O00456,Q14D41,Q5XG86 Factor binding IST protein 1, Factor that binds to inducer of short transcripts protein 1, HIV-1 1st-binding protein 1, Leukemia/lymphoma-related factor, POZ and Krueppel erythroid myeloid ontogenic factor, TTF-I-interacting peptide 21, Zinc finger protein 857A FBI1, LRF, ZBTB7, ZNF857A","cytoplasm, dna-dependent protein kinase complex, nucleus, site of double-strand break",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZBT7A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O95365/,"29.84|Q14145|KEAP1|to be filled in|Whole:::Protein",,,2,0,2,0,0,1,50,-3,59,,,,,,,,,,
,O15156,ZBTB7B,"Zinc finger and BTB domain-containing protein 7B",,"ZBT7B_HUMAN, ZBTB7B, ZBTB15, ZFP67, ZNF857B",Nucleus,"O15156 ZBT7B_HUMAN Zinc finger and BTB domain-containing protein 7B O15156,B4E3K5,D3DV83,J3KQQ3,Q68DR2,Q96EP2 Krueppel-related zinc finger protein cKrox, T-helper-inducing POZ/Krueppel-like factor, Zinc finger and BTB domain-containing protein 15, Zinc finger protein 67 homolog, Zinc finger protein 857B, Zinc finger protein Th-POK ZBTB15, ZFP67, ZNF857B","nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZBT7B_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O15156/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P37275,ZEB1,"Zinc finger E-box-binding homeobox 1",,"ZEB1_HUMAN, ZEB1, AREB6, TCF8",Nucleus,"P37275 ZEB1_HUMAN Zinc finger E-box-binding homeobox 1 P37275,B4DJV0,B4DUW9,E9PCM7,F5H4I8,Q12924,Q13800,Q2KJ05,Q5T968,Q5VZ84,Q8NB68 NIL-2-A zinc finger protein, Negative regulator of IL2, Transcription factor 8 AREB6, TCF8","cytosol, nuclear chromatin, nucleoplasm, nucleus","delta-EF1/ZFH-1 C2H2-type zinc-finger family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZEB1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P37275/,,,,1,0,1,0,0,1,100,1.1,91,,,,,,,,,,
,P17010,ZFX,"Zinc finger X-chromosomal protein",,"ZFX_HUMAN, ZFX",Nucleus,"P17010 ZFX_HUMAN Zinc finger X-chromosomal protein P17010,B9EG97,O43668,Q8WYJ8  ","chromosome, nucleolus, nucleoplasm","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZFX_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17010/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P52738,ZNF140,"Zinc finger protein 140",,"ZN140_HUMAN, ZNF140",Nucleus,"P52738 ZN140_HUMAN Zinc finger protein 140 P52738,D3DXJ3,Q05CP6,Q8IV75  ",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN140_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P52738/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P52747,ZNF143,"Zinc finger protein 143",,"ZN143_HUMAN, ZNF143, SBF, STAF",Nucleus,"P52747 ZN143_HUMAN Zinc finger protein 143 P52747,A8K518,B4DLY5,E7ER34,O75559,Q8WUK9 SPH-binding factor, Selenocysteine tRNA gene transcription-activating factor SBF, STAF","nuclear chromatin, nucleoplasm","GLI C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN143_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P52747/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9UQR1,ZNF148,"Zinc finger protein 148",,"ZN148_HUMAN, ZNF148, ZBP89",Nucleus,"Q9UQR1 ZN148_HUMAN Zinc finger protein 148 Q9UQR1,D3DN27,O00389,O43591,Q58EY5,Q6PJ98 Transcription factor ZBP-89, Zinc finger DNA-binding protein 89 ZBP89","golgi apparatus, nuclear chromatin, nucleoplasm","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN148_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UQR1/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P17020,ZNF16,"Zinc finger protein 16",,"ZNF16_HUMAN, ZNF16, HZF1, KOX9",Nucleus,"P17020 ZNF16_HUMAN Zinc finger protein 16 P17020,B3KXM4,D3DWP2,Q45SH7,Q96FG0,Q9NRA4 Zinc finger protein KOX9 HZF1, KOX9","nucleolus, nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZNF16_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17020/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P17028,ZNF24,"Zinc finger protein 24",,"ZNF24_HUMAN, ZNF24, KOX17, ZNF191, ZSCAN3",Nucleus,"P17028 ZNF24_HUMAN Zinc finger protein 24 P17028,O14754,Q53YE4,Q6ICR5,Q8IZN4 Retinoic acid suppression protein A, Zinc finger and SCAN domain-containing protein 3, Zinc finger protein 191, Zinc finger protein KOX17 KOX17, ZNF191, ZSCAN3","nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZNF24_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17028/,,,,2,0,2,1,50,1,50,-3,59,,,,,,,,,,
,O14978,ZNF263,"Zinc finger protein 263",,"ZN263_HUMAN, ZNF263, FPM315, ZKSCAN12",Nucleus,"O14978 ZN263_HUMAN Zinc finger protein 263 O14978,B2R634,O43387,Q96H95 Zinc finger protein FPM315, Zinc finger protein with KRAB and SCAN domains 12 FPM315, ZKSCAN12",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN263_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O14978/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9Y2X9,ZNF281,"Zinc finger protein 281",,"ZN281_HUMAN, ZNF281, GZP1, ZBP99",Nucleus,"Q9Y2X9 ZN281_HUMAN Zinc finger protein 281 Q9Y2X9,A6NF48,B3KMX2,Q5RKW5,Q9NY92 GC-box-binding zinc finger protein 1, Transcription factor ZBP-99, Zinc finger DNA-binding protein 99 GZP1, ZBP99","nuclear chromatin, nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN281_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9Y2X9/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9UDV7,ZNF282,"Zinc finger protein 282",,"ZN282_HUMAN, ZNF282, HUB1",Nucleus,"Q9UDV7 ZN282_HUMAN Zinc finger protein 282 Q9UDV7,B4DRI5,O43691,Q6DKK0 HTLV-I U5RE-binding protein 1 HUB1","nuclear chromatin","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN282_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UDV7/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q96PQ6,ZNF317,"Zinc finger protein 317",,"ZN317_HUMAN, ZNF317, KIAA1588",Nucleus,"Q96PQ6 ZN317_HUMAN Zinc finger protein 317 Q96PQ6,Q6DCA9,Q96PM0,Q96PM1,Q96PT2,Q9HCI4  KIAA1588",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN317_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q96PQ6/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q8TF68,ZNF384,"Zinc finger protein 384",,"ZN384_HUMAN, ZNF384, CAGH1, CIZ, NMP4, TNRC1",Nucleus,"Q8TF68 ZN384_HUMAN Zinc finger protein 384 Q8TF68,O15407,Q7Z722,Q8N938 CAG repeat protein 1, CAS-interacting zinc finger protein, Nuclear matrix transcription factor 4, Trinucleotide repeat-containing gene 1 protein CAGH1, CIZ, NMP4, TNRC1",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN384_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8TF68/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q14592,ZNF460,"Zinc finger protein 460",,"ZN460_HUMAN, ZNF460, ZNF272",Nucleus,"Q14592 ZN460_HUMAN Zinc finger protein 460 Q14592,A4FU64,B4DNX9,Q2VPC7,Q6VSF8 Zinc finger protein 272, Zinc finger protein HZF8 ZNF272",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN460_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14592/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q3MIS6,ZNF528,"Zinc finger protein 528",,"ZN528_HUMAN, ZNF528, KIAA1827",Nucleus,"Q3MIS6 ZN528_HUMAN Zinc finger protein 528 Q3MIS6,B3KPN4,Q86T88,Q96JK0  KIAA1827",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ZN528_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q3MIS6/,,,,0,0,0,0,0,0,0,-0.4,75,,,,,,,,,,
